Category,Subcategory,Item Evaluated,Source,Output/Evidence
Infrastructure,Compute,OpenShift Node Readiness,CLI,raw/01-core/nodes-wide.txt
Infrastructure,Compute,OpenShift Node CPU/Memory/Storage,CLI,raw/01-core/resource-capacity-top-nodes.txt
Infrastructure,Network,DNS/Ingress/Proxy Configuration,CLI,raw/02-infrastructure/
Infrastructure,Network,Network Policy and Egress Controls,CLI,raw/02-infrastructure/networkpolicies.txt
Infrastructure,Storage,Persistent Volume Claims,CLI,raw/03-storage/persistentvolumeclaims.txt
Infrastructure,Storage,Red Hat OpenShift Data Foundation Component Check,CLI,raw/03-storage/storage-operators.txt
Platform,Lifecycle Management,Cluster Version,CLI,raw/00-preflight/cluster-version-json.txt
Platform,Cluster Health,Cluster Operators,CLI,raw/01-core/clusteroperators.txt
Platform,Machine Configs,MachineConfigPools,CLI,raw/01-core/machineconfigpools.txt
Platform,Monitoring & Logging,Active OpenShift Alerts,CLI,raw/05-monitoring-logging/alertmanager-alerts-json.txt
Platform,Container Image Management,OpenShift Internal Registry Storage,CLI,raw/04-platform/image-registry-config.txt
Platform,Quotas & Limits,ResourceQuotas Defined,CLI,raw/04-platform/resourcequotas.txt
Application Development,Availability,Pod Disruption Budget Usage,CLI,raw/04-platform/pdb.txt
Application Development,Scaling,Horizontal Pod Autoscaler Usage,CLI,raw/04-platform/hpa.txt
Application Development,CI/CD,CI/CD Tooling and Deployment Process,Interview,survey-open-items.md
OpenShift Virtualization,Adoption,Determine if OpenShift Virtualization is in use,CLI,raw/08-openshift-virtualization/virtualization-vms.txt
Security,Administration,kubeadmin User,CLI,raw/04-platform/kubeadmin-secret-presence.txt
Security,Data Protection,etcd Encryption,CLI,raw/04-platform/etcd-encryption.txt
Security,Identity and Access,Identity Provider and RBAC Governance,CLI+Interview,raw/06-security/cluster-admin-bindings.txt
Organizational Readiness,Operating Model,Platform Team Skills and Responsibilities,Interview,survey-open-items.md
